Year,FuPerDay,OpRate,M_Sale,M_Purch,People,Dep,Elec,HW_Opex,Labor,GnA,TotalOpex,PV_Opex,CashFlow,CumuCashFlow
2025,0,-1.#IND,0,0,1,0,0,0,0,0,0,0,0,0
2026,0,-1.#IND,0,0,1,0,0,0,0,0,0,0,-9.2699377e+009,-9.2699377e+009
2027,16.930345,27.10385,72945.88,75790.769,1,1.0483948e+009,85573189,3.6871073e+008,77295393,15459079,2.0479745e+009,1.8753916e+009,-3.4890242e+008,-9.6188401e+009
2028,18.529808,29.532368,84274.5,87561.206,1,9.0255437e+008,88140385,3.7018557e+008,79536959,15907392,1.9767347e+009,1.7322059e+009,-3.2498e+008,-9.9438201e+009
2029,20.37601,32.32563,97735.339,101547.02,1,7.7700153e+008,90784596,3.7166632e+008,81843531,16368706,1.9373998e+009,1.6246286e+009,-2.9446317e+008,-1.0238283e+010
2030,22.515498,35.550615,113749.73,118185.97,1,6.6891414e+008,93508134,3.7315298e+008,84216994,16843399,1.9290642e+009,1.5479796e+009,-2.5573996e+008,-1.0494023e+010
2031,25.00404,39.287066,132823.11,138003.21,1,5.758626e+008,96313378,3.7464559e+008,86659286,17331857,1.9515202e+009,1.498564e+009,-2.0681425e+008,-1.0700838e+010
2032,27.908463,43.629908,155561.83,161628.74,1,4.9575531e+008,99202779,3.7614418e+008,89172406,17834481,2.0052489e+009,1.4735139e+009,-1.4521633e+008,-1.0846054e+010
2033,31.308869,48.692141,182693.34,189818.38,1,4.2679161e+008,1.0217886e+008,3.7764875e+008,91758406,18351681,2.0914244e+009,1.4706585e+009,-67893004,-1.0913947e+010
2034,35.301282,54.608258,215090.43,223478.95,1,3.6742134e+008,1.0524423e+008,3.7915935e+008,94419399,18883880,2.2119316e+009,1.4884186e+009,28927319,-1.088502e+010
2035,40.000837,61.538325,253800.23,263698.44,1,3.1630997e+008,1.0840156e+008,3.8067599e+008,97157562,19431512,2.3693958e+009,1.5257196e+009,1.4990015e+008,-1.0735119e+010
