Year,FuPerDay,OpRate,M_Sale,M_Purch,People,Dep,Elec,HW_Opex,Labor,GnA,TotalOpex,PV_Opex,CashFlow,CumuCashFlow
2025,0,-1.#IND,0,0,1,0,0,0,0,0,0,0,0,0
2026,0,-1.#IND,0,0,1,0,0,0,0,0,0,0,-2.8498373e+008,-2.8498373e+008
2027,16.930345,27.10385,72945.88,75790.769,1,32230580,-1.#IND,11754444,77295393,15459079,6.7485395e+008,6.1798398e+008,8053871.5,-2.7692985e+008
2028,18.529808,29.532368,84274.5,87561.206,1,27747037,-1.#IND,11801461,79536959,15907392,7.4354323e+008,6.5156441e+008,33404115,-2.4352574e+008
2029,20.37601,32.32563,97735.339,101547.02,1,23887193,-1.#IND,11848667,81843531,16368706,8.2446781e+008,6.9136684e+008,65354481,-1.7817126e+008
2030,22.515498,35.550615,113749.73,118185.97,1,20564285,-1.#IND,11896062,84216994,16843399,9.1945743e+008,7.3781957e+008,1.0551696e+008,-72654296
2031,25.00404,39.287066,132823.11,138003.21,1,17703622,-1.#IND,11943646,86659286,17331857,1.0306593e+009,7.9143885e+008,1.558877e+008,83233400
2032,27.908463,43.629908,155561.83,161628.74,1,15240900,-1.#IND,11991421,89172406,17834481,1.1605817e+009,8.5282845e+008,2.1893642e+008,3.0216982e+008
2033,31.308869,48.692141,182693.34,189818.38,1,13120764,-1.#IND,12039386,91758406,18351681,1.3121442e+009,9.2268029e+008,2.9771636e+008,5.9988619e+008
2034,35.301282,54.608258,215090.43,223478.95,1,11295556,-1.#IND,12087544,94419399,18883880,1.488734e+009,1.0017757e+009,3.9599912e+008,9.9588531e+008
2035,40.000837,61.538325,253800.23,263698.44,1,9724250.1,-1.#IND,12135894,97157562,19431512,1.69427e+009,1.0909874e+009,5.1844024e+008,1.5143256e+009
2036,45.545599,69.672819,300079.16,311782.25,1,8371525.8,-1.#IND,12184438,99975131,19995026,1.9332741e+009,1.191281e+009,6.7078223e+008,2.1851078e+009
2037,52.101147,79.238373,355434.73,369296.68,1.0854406,7206976.8,-1.#IND,12233175,1.1166406e+008,22332812,2.2214984e+009,1.3099374e+009,8.4955589e+008,3.0346637e+009
2038,59.866078,90.504609,421675.75,438121.11,1.24721,6204426.2,-1.#IND,12282108,1.3202686e+008,26405372,2.5646788e+009,1.4471755e+009,1.0637203e+009,4.098384e+009
2039,66.554693,100,477941.93,496581.66,1.3865561,5341338.8,-1.#IND,12331237,1.5103429e+008,30206858,2.8307965e+009,1.5285533e+009,1.2657277e+009,5.3641117e+009
2040,66.975794,100,476860.32,495457.88,1.395329,4598314,-1.#IND,12380561,1.5639761e+008,31279522,2.7562641e+009,1.424218e+009,1.3159528e+009,6.6800645e+009
2041,67.410568,100,475743.6,494297.6,1.4043868,3958650.2,-1.#IND,12430084,1.6197784e+008,32395568,2.6822501e+009,1.3262904e+009,1.3655291e+009,8.0455936e+009
2042,67.85928,100,474591.07,493100.12,1.413735,3407968.9,-1.#IND,12479804,1.6778466e+008,33556931,2.608765e+009,1.234406e+009,1.4144294e+009,9.460023e+009
2043,68.322185,100,473402.09,491864.77,1.4233788,2933892,-1.#IND,12529723,1.7382815e+008,34765630,2.5358218e+009,1.1482211e+009,1.4626257e+009,1.0922649e+010
2044,68.799527,100,472176.03,490590.9,1.4333235,2525763.2,-1.#IND,12579842,1.8011886e+008,36023772,2.4634368e+009,1.0674116e+009,1.5100894e+009,1.2432738e+010
2045,69.291539,100,470912.29,489277.87,1.4435737,2174408.4,-1.#IND,12630162,1.8666776e+008,37333553,2.3916285e+009,9.9167168e+008,1.5567909e+009,1.3989529e+010
2046,69.798443,100,469610.3,487925.1,1.4541342,1871930.1,-1.#IND,12680682,1.934863e+008,38697261,2.3204178e+009,9.2071262e+008,1.6027001e+009,1.5592229e+010
2047,70.320444,100,468269.53,486532.04,1.4650093,5.5879354e-009,-1.#IND,12731405,2.005864e+008,40117279,2.2482164e+009,8.5364977e+008,1.647786e+009,1.7240015e+010
2048,70.857734,100,466889.49,485098.18,1.4762028,0,-1.#IND,12782331,2.0798044e+008,41596089,2.1784967e+009,7.9155704e+008,1.6920172e+009,1.8932032e+010
2049,71.410486,100,465469.73,483623.05,1.4877185,0,-1.#IND,12833460,2.1568136e+008,43136271,2.1094187e+009,7.3345221e+008,1.7353613e+009,2.0667394e+010
2050,71.978854,100,464009.87,482106.25,1.4995595,0,-1.#IND,12884794,2.2370254e+008,44740508,2.0410157e+009,6.7910836e+008,1.7777856e+009,2.2445179e+010
2051,72.562973,100,462509.55,480547.42,1.5117286,0,-1.#IND,12936333,2.3205794e+008,46411588,1.9733218e+009,6.2831058e+008,1.8192565e+009,2.4264436e+010
2052,73.162957,100,460968.48,478946.25,1.5242283,0,-1.#IND,12988078,2.4076203e+008,48152405,1.9063724e+009,5.8085524e+008,1.85974e+009,2.6124176e+010
2053,73.778894,100,459386.43,477302.5,1.5370603,0,-1.#IND,13040030,2.4982981e+008,49965962,1.8402038e+009,5.365495e+008,1.8992018e+009,2.8023377e+010
2054,74.41085,100,457763.24,475616.01,1.550226,0,-1.#IND,13092191,2.5927686e+008,51855371,1.7748533e+009,4.9521071e+008,1.9376067e+009,2.9960984e+010
